text,label,binary_label
security policy violation binary artifacts this issue was automatically created by security policy violation project is out of compliance with binary artifacts policy binaries present in source code rule description binary artifacts are an increased security risk in your repository binary artifacts cannot be reviewed allowing the introduction of possibly obsolete or maliciously subverted executables for more information see the for binary artifacts remediation steps to remediate remove the generated executable artifacts from the repository artifacts found jib cli src integration test resources jartest standard jar jib cli src integration test resources jartest standard directory jar jib cli src integration test resources jartest standard jarwithcp jar jib cli src integration test resources jartest standard nodependencyjar jar jib gradle plugin src integration test resources gradle projects default target libs dependency jar jib gradle plugin src integration test resources gradle projects simple libs dependency jar additional information this policy is drawn from which is a tool that scores a project s adherence to security best practices you may wish to run a scorecards scan directly on this repository for more details warning there is an updated version of this policy result this issue will auto resolve when the policy is in compliance issue created by allstar see for more information for questions specific to the repository please contact the owner or maintainer,non_technical debt,0
complete deploy service to the cloud as a service provide i need to deploy the counter application to the cloud so that it can be accessed and utilized by end users anywhere details and assumptions artifacts for cloud foundry app have already been created in branch cf deploy database still needs to be provisioned app needs to be pushed and connected to the database acceptance criteria gherkin given when then,technical debt,1
adopt expedited cep deprecation policy summary while we have the deprecation helpers available we haven t formalized when and how deprecations occur in conda build this has resulted in deprecations being marked for eventual removal in the fictitious release adopt releases deprecation schedule i e the next release marks code as deprecations not pending deprecation the subsequent release removes the code convert ongoing deprecations to conform with expedited release schedule,technical debt,1
hide the implicit public constructor using private constructor description found a utility class without any constructor in the codebase during sonarqube review the absence of the user defined constructor forces the invocation of the default constructor provided by the java it impacts the code quality and maintainability it could also be the entry point for future data breaches consequences maintenance challenges compromises security compromised code quality documentation deficiency accumulation of technical debt solution define a private constructor with no arguments complete the task as required submit changes for review and integration positive impact upon resolution enhanced code quality eliminate potential security risk reduced technical debt,technical debt,1
selecting transparent team colours when creating a team one can choose their team colour via cymk where it s possible to select an alpha value lower than therefore it is possible to create transparent team colours which doesn t seem to be ideal additionally it leads to a broken view in createteamframe example using a slightly transparent green,non_technical debt,0
document discriminator column max length changes in current statement in one of our applications we have a thp structure for some of our models in the previous versions ef added the discriminator shadow property to our models automatically and its length has been set to max problem statement by upgrading the ef and the net version to by adding a new database migration using the following command ef adds an update to the discriminator to shrink its length dotnet ef migrations add newmigrationname after adding the migration when we want to apply it to the database using dotnet ef database update it shows the following error message the index dta index organizations is dependent on column discriminator alter table alter column discriminator failed because one or more objects access this column the mentioned index in the above error message is also generated by ef automatically we manually added the discriminator column to the models without setting the maxlength for it and followed the different ways of configuring the discriminator columns mentioned to bypass the automatic updates but nothing changed provider and version information ef core version database provider microsoft entityframeworkcore sqlserver target framework net operating system ms windows ide visual studio,non_technical debt,0
containerize your microservice using docker as a developer i need to containerize the account microservice and its dependencies so that the service can be easily deployed to new environments details and assumptions create a dockerfile for repeatable builds use a python slim image as the base it must install all of the python requirements it should not run as root it should use the gunicorn wsgi server as an entry poi acceptance criteria gherkin given the docker image named accounts has been created when i use docker run accounts then i should see the accounts service running in docker,technical debt,1
move registergetnotebookurifortextdocumenturifunction into python pylance extension given that interactive window is a core feature in vs code and all of the code used to get the notebook uri for the above function is not relying on any jupyter ext its simpler for maintenance to move this code into python pylance extension this is one less api in python extension thoughts concerns karthiknadig amunger debonte,technical debt,1
counters can be reset as a system administrator i need so that details and assumptions acceptance criteria gherkin given when then,technical debt,1
sensor correct fetch api logic as stated by yperess in the following the api breaks the fetch api contract if running in fifo mode the fetch code should be updated to only load a single sample from the fifo instead of pulling all,non_technical debt,0
